tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
11,192.168.1.143,50426,192.168.4.2,5056,Jan 21, 2026 14:30:06.810078000 CST,16
11,192.168.4.2,5056,192.168.1.143,50426,Jan 21, 2026 14:30:06.810302000 CST,0
11,192.168.1.143,50426,192.168.4.2,5056,Jan 21, 2026 14:30:06.815309000 CST,0
11,192.168.4.2,5056,192.168.1.143,50426,Jan 21, 2026 14:30:06.815369000 CST,0
11,192.168.1.143,50426,192.168.4.2,5056,Jan 21, 2026 14:30:06.910527000 CST,0
11,192.168.1.143,50426,192.168.4.2,5056,Jan 21, 2026 14:30:06.914528000 CST,0
11,192.168.1.143,50426,192.168.4.2,5056,Jan 21, 2026 14:30:06.915669000 CST,0
0,192.168.4.2,44546,192.168.1.143,2113,Jan 21, 2026 14:30:07.061407000 CST,5
12,192.168.1.143,50427,192.168.4.2,5056,Jan 21, 2026 14:30:07.100431000 CST,0
12,192.168.4.2,5056,192.168.1.143,50427,Jan 21, 2026 14:30:07.100653000 CST,0
12,192.168.1.143,50427,192.168.4.2,5056,Jan 21, 2026 14:30:07.198732000 CST,0
12,192.168.4.2,5056,192.168.1.143,50427,Jan 21, 2026 14:30:07.199127000 CST,524
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:07.292073000 CST,0
12,192.168.1.143,50427,192.168.4.2,5056,Jan 21, 2026 14:30:07.297977000 CST,16
12,192.168.1.143,50427,192.168.4.2,5056,Jan 21, 2026 14:30:07.297977000 CST,0
12,192.168.4.2,5056,192.168.1.143,50427,Jan 21, 2026 14:30:07.298092000 CST,0
12,192.168.4.2,5056,192.168.1.143,50427,Jan 21, 2026 14:30:07.298195000 CST,0
12,192.168.1.143,50427,192.168.4.2,5056,Jan 21, 2026 14:30:07.397579000 CST,0
13,192.168.1.143,50428,192.168.4.2,5056,Jan 21, 2026 14:30:07.619284000 CST,0
13,192.168.4.2,5056,192.168.1.143,50428,Jan 21, 2026 14:30:07.619510000 CST,0
13,192.168.1.143,50428,192.168.4.2,5056,Jan 21, 2026 14:30:07.717839000 CST,0
13,192.168.4.2,5056,192.168.1.143,50428,Jan 21, 2026 14:30:07.718379000 CST,524
13,192.168.1.143,50428,192.168.4.2,5056,Jan 21, 2026 14:30:07.817663000 CST,16
13,192.168.4.2,5056,192.168.1.143,50428,Jan 21, 2026 14:30:07.817892000 CST,0
13,192.168.1.143,50428,192.168.4.2,5056,Jan 21, 2026 14:30:07.823047000 CST,0
13,192.168.4.2,5056,192.168.1.143,50428,Jan 21, 2026 14:30:07.823086000 CST,0
13,192.168.1.143,50428,192.168.4.2,5056,Jan 21, 2026 14:30:07.915310000 CST,0
13,192.168.1.143,50428,192.168.4.2,5056,Jan 21, 2026 14:30:07.920912000 CST,0
13,192.168.1.143,50428,192.168.4.2,5056,Jan 21, 2026 14:30:07.926942000 CST,0
14,192.168.1.143,50429,192.168.4.2,5056,Jan 21, 2026 14:30:08.126726000 CST,0
14,192.168.4.2,5056,192.168.1.143,50429,Jan 21, 2026 14:30:08.126871000 CST,0
14,192.168.1.143,50429,192.168.4.2,5056,Jan 21, 2026 14:30:08.225309000 CST,0
14,192.168.4.2,5056,192.168.1.143,50429,Jan 21, 2026 14:30:08.226290000 CST,524
14,192.168.1.143,50429,192.168.4.2,5056,Jan 21, 2026 14:30:08.331320000 CST,16
14,192.168.1.143,50429,192.168.4.2,5056,Jan 21, 2026 14:30:08.331320000 CST,0
14,192.168.4.2,5056,192.168.1.143,50429,Jan 21, 2026 14:30:08.331461000 CST,0
14,192.168.4.2,5056,192.168.1.143,50429,Jan 21, 2026 14:30:08.331560000 CST,0
14,192.168.1.143,50429,192.168.4.2,5056,Jan 21, 2026 14:30:08.435310000 CST,0
15,192.168.1.143,50430,192.168.4.2,5056,Jan 21, 2026 14:30:08.634262000 CST,0
15,192.168.4.2,5056,192.168.1.143,50430,Jan 21, 2026 14:30:08.634348000 CST,0
15,192.168.1.143,50430,192.168.4.2,5056,Jan 21, 2026 14:30:08.732294000 CST,0
15,192.168.4.2,5056,192.168.1.143,50430,Jan 21, 2026 14:30:08.733260000 CST,524
0,192.168.1.143,2113,192.168.4.2,44546,Jan 21, 2026 14:30:08.812007000 CST,0
15,192.168.1.143,50430,192.168.4.2,5056,Jan 21, 2026 14:30:08.833182000 CST,16
15,192.168.4.2,5056,192.168.1.143,50430,Jan 21, 2026 14:30:08.833359000 CST,0
15,192.168.1.143,50430,192.168.4.2,5056,Jan 21, 2026 14:30:08.836880000 CST,0
15,192.168.4.2,5056,192.168.1.143,50430,Jan 21, 2026 14:30:08.836908000 CST,0
15,192.168.1.143,50430,192.168.4.2,5056,Jan 21, 2026 14:30:08.931724000 CST,0
