tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
13,192.168.1.143,2113,192.168.4.2,60792,Jan 21, 2026 14:49:43.787891000 CST,0
14,192.168.1.143,50457,192.168.4.2,5056,Jan 21, 2026 14:49:43.796403000 CST,0
14,192.168.4.2,5056,192.168.1.143,50457,Jan 21, 2026 14:49:43.796594000 CST,0
14,192.168.1.143,50457,192.168.4.2,5056,Jan 21, 2026 14:49:43.893870000 CST,0
14,192.168.4.2,5056,192.168.1.143,50457,Jan 21, 2026 14:49:43.894177000 CST,524
14,192.168.1.143,50457,192.168.4.2,5056,Jan 21, 2026 14:49:43.993042000 CST,16
14,192.168.4.2,5056,192.168.1.143,50457,Jan 21, 2026 14:49:43.993344000 CST,0
14,192.168.1.143,50457,192.168.4.2,5056,Jan 21, 2026 14:49:44.003858000 CST,0
14,192.168.4.2,5056,192.168.1.143,50457,Jan 21, 2026 14:49:44.003900000 CST,0
14,192.168.1.143,50457,192.168.4.2,5056,Jan 21, 2026 14:49:44.096620000 CST,0
14,192.168.1.143,50457,192.168.4.2,5056,Jan 21, 2026 14:49:44.096620000 CST,0
14,192.168.1.143,50457,192.168.4.2,5056,Jan 21, 2026 14:49:44.102440000 CST,0
13,192.168.4.2,60792,192.168.1.143,2113,Jan 21, 2026 14:49:44.290436000 CST,0
13,192.168.1.143,2113,192.168.4.2,60792,Jan 21, 2026 14:49:44.388642000 CST,0
13,192.168.4.2,60792,192.168.1.143,2113,Jan 21, 2026 14:49:44.890360000 CST,0
13,192.168.1.143,2113,192.168.4.2,60792,Jan 21, 2026 14:49:44.987946000 CST,0
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.169633000 CST,0
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.169780000 CST,0
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.267435000 CST,0
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.267727000 CST,544
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268394000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268394000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268394000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268394000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268394000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268394000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268394000 CST,360
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268469000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268469000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.268469000 CST,1380
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.374194000 CST,0
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.374194000 CST,0
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.374194000 CST,0
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.374354000 CST,1380
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.477422000 CST,0
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.477422000 CST,0
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.477466000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.477489000 CST,1070
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.479264000 CST,0
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.479264000 CST,0
16,192.168.1.143,50458,192.168.4.2,5056,Jan 21, 2026 14:49:45.479264000 CST,0
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.479305000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.479347000 CST,1380
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.479347000 CST,670
16,192.168.4.2,5056,192.168.1.143,50458,Jan 21, 2026 14:49:45.479368000 CST,1020
