tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
33,192.168.1.143,50337,192.168.4.2,5056,Jan 20, 2026 15:48:41.843095000 CST,0
33,192.168.4.2,5056,192.168.1.143,50337,Jan 20, 2026 15:48:41.843581000 CST,524
33,192.168.1.143,50337,192.168.4.2,5056,Jan 20, 2026 15:48:41.941881000 CST,16
33,192.168.4.2,5056,192.168.1.143,50337,Jan 20, 2026 15:48:41.942026000 CST,0
33,192.168.1.143,50337,192.168.4.2,5056,Jan 20, 2026 15:48:41.947208000 CST,0
33,192.168.4.2,5056,192.168.1.143,50337,Jan 20, 2026 15:48:41.947247000 CST,0
33,192.168.1.143,50337,192.168.4.2,5056,Jan 20, 2026 15:48:42.040178000 CST,0
33,192.168.1.143,50337,192.168.4.2,5056,Jan 20, 2026 15:48:42.049985000 CST,0
33,192.168.1.143,50337,192.168.4.2,5056,Jan 20, 2026 15:48:42.050040000 CST,0
34,192.168.1.143,50338,192.168.4.2,5056,Jan 20, 2026 15:48:42.263440000 CST,0
34,192.168.4.2,5056,192.168.1.143,50338,Jan 20, 2026 15:48:42.263553000 CST,0
34,192.168.1.143,50338,192.168.4.2,5056,Jan 20, 2026 15:48:42.363801000 CST,0
34,192.168.4.2,5056,192.168.1.143,50338,Jan 20, 2026 15:48:42.364376000 CST,524
34,192.168.1.143,50338,192.168.4.2,5056,Jan 20, 2026 15:48:42.463603000 CST,16
34,192.168.4.2,5056,192.168.1.143,50338,Jan 20, 2026 15:48:42.463906000 CST,0
34,192.168.1.143,50338,192.168.4.2,5056,Jan 20, 2026 15:48:42.468709000 CST,0
34,192.168.4.2,5056,192.168.1.143,50338,Jan 20, 2026 15:48:42.468761000 CST,0
34,192.168.1.143,50338,192.168.4.2,5056,Jan 20, 2026 15:48:42.566383000 CST,0
34,192.168.1.143,50338,192.168.4.2,5056,Jan 20, 2026 15:48:42.566383000 CST,0
34,192.168.1.143,50338,192.168.4.2,5056,Jan 20, 2026 15:48:42.566383000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.674500000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.674745000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.773252000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.774063000 CST,544
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775506000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775506000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775506000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775506000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775506000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775506000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775506000 CST,360
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775643000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775643000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.775643000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.876640000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.876868000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.876868000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.876868000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.876868000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.876868000 CST,1380
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.881459000 CST,0
36,192.168.1.143,50339,192.168.4.2,5056,Jan 20, 2026 15:48:43.881459000 CST,0
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
36,192.168.4.2,5056,192.168.1.143,50339,Jan 20, 2026 15:48:43.881527000 CST,1380
